1113977,3
1113975,3
1113894,3
1113406,3
1111922,3
1111038,0
1107751,0
1106455,2
1106454,1
1104999,0
1102184,0
1099877,0
1097345,2
1097344,1
1099401,2
1099400,1
1098987,0
1098493,0
1097338,3
1097555,1
1097628,2
1065756,1
1090916,1
1090947,2
1090948,1
1090949,2
1090950,1
1090951,2
1097051,0
1097049,3
1094539,2
1094538,1
1094222,1
1094223,2
1093711,2
1093710,1
1093627,1
1093628,2
1093536,2
1093535,1
1092701,2
1092700,1
1084461,3
1092283,1
1092284,2
1091676,1
1091675,1
1091511,1
1064701,3
1064699,3
1091132,3
1090986,1
1090857,3
1090855,0
1090856,0
1089830,1
1089831,2
1090685,1
1090378,0
1090207,1
1090199,0
1090200,0
1090093,3
1090123,3
1090124,0
1089435,3
1089937,3
1089361,1
1089588,0
1088749,2
1088748,1
1077734,1
1088283,3
1088223,0
1064725,0
1064724,0
1086231,2
1082070,1
1084199,1
1079320,0
1087568,2
1087567,1
1087560,0
1087598,0
1086232,0
1086248,0
1086247,0
1086246,0
1086245,0
1086244,0
1086243,0
1086242,0
1086241,0
1086240,0
1086239,0
1086238,0
1086237,0
1086236,0
1086235,0
1086234,0
1086233,0
1074787,0
1064726,0
1064625,0
1064650,0
1064626,0
1065433,0
1065434,0
1065436,0
1065435,0
1082425,0
1067765,0
1064798,0
1082740,0
1070487,0
1083225,0
1010479,1
1067728,0
1071181,0
1081565,0
1080204,1
1010109,1
1010110,1
1010381,1
1010382,1
1064661,2
1010478,1
1064643,1
1064642,1
1064659,1
1064727,1
1065520,1
1066852,1
1078515,1
1078516,2
1078517,2
1064645,1
1081094,2
1078591,2
1078590,2
1076303,1
1073493,2
1073492,1
1079399,0
1065519,1
1010383,1
1064649,2
